Frage;Antwort
"Was versteht man unter Kapnometrie/Kapnographie und welche Bedeutung hat sie bei der Beatmung?";"Kapnometrie ist die Messung des Kohlendioxidgehalts in der Ausatemluft (endtidales CO2, etCO2). Kapnographie ist die grafische Darstellung des CO2-Verlaufs über die Zeit. Sie dient zur Überprüfung der korrekten Tubuslage nach Intubation, zur Überwachung der Effektivität der Beatmung und der Herzdruckmassage während der Reanimation sowie zur Erkennung von Veränderungen im Kreislauf oder der Lungenfunktion."
"Welche Aufgabe hat der Rettungssanitäter bei der Vorbereitung und Durchführung einer Narkoseeinleitung durch den Notarzt?";"Vorbereitung der benötigten Medikamente (nach Anweisung), Vorbereitung der Intubationsmaterialien, Sicherstellung der Funktionsfähigkeit von Beatmungs- und Absauggerät, Monitoring des Patienten (EKG, RR, SpO2, etCO2), Assistenz bei der Präoxygenierung, ggf. Ausüben des Sellick-Handgriffs (Krikoiddruck) nach Anweisung."
"Welche Indikationen gibt es für die Gabe von Sauerstoff im Rettungsdienst?";"Hypoxie/Hypoxämie (SpO2<94%), Atemnot, Schockzustände, Trauma, Kohlenmonoxidvergiftung, Herzinfarkt, Schlaganfall, Reanimation, und generell bei kritisch kranken oder verletzten Patienten zur Verbesserung der Sauerstoffversorgung."
"Ein erwachsener Patient mit bekanntem Asthma bronchiale hat einen akuten Anfall mit Giemen und Dyspnoe. Welches Medikament aus dem Notfallkoffer können Sie ihm (ggf. nach Rücksprache oder SOP) zur Inhalation anbieten und in welcher typischen Dosierung?";"Salbutamol (oder ein anderes Beta-2-Sympathomimetikum) als Dosieraerosol. Typische Dosierung: 1-2 Hübe. Wirkung: Bronchodilatation (Erweiterung der Bronchien)."
"Ein Patient ist stark unterzuckert (BZ 40 mg/dl) und ansprechbar, aber schluckfähig. Welche Maßnahme ist indiziert?";"Orale Gabe von Glukose, z.B. 2-4 Täfelchen Traubenzucker oder ein zuckerhaltiges Getränk (ca. 20g Kohlenhydrate)."
"Bei welchem Notfallbild ist die Gabe von Adrenalin i.m. durch den Rettungssanitäter (nach SOP/Freigabe) eine lebensrettende Maßnahme und wie wirkt es?";"Bei der schweren anaphylaktischen Reaktion (Anaphylaxie Grad II-IV) mit Kreislaufbeteiligung (Hypotonie, Schock) oder schwerer Atemnot. Adrenalin wirkt über Alpha- und Beta-Rezeptoren vasokonstriktorisch (Blutdrucksteigerung), bronchodilatatorisch und hemmt die Freisetzung weiterer Mediatoren. Typische Dosis für Erwachsene i.m.: 0,3-0,5 mg."
"Welche wichtige Kontraindikation besteht für die Gabe von Nitroglycerin-Spray bei einem Patienten mit ACS?";"Systolischer Blutdruck < 90-100 mmHg (Hypotonie), Bradykardie < 50/min oder Tachykardie > 100/min (relative KI), Einnahme von Phosphodiesterase-5-Hemmern (z.B. Sildenafil) in den letzten 24-48 Stunden, Rechtsherzinfarkt (relative KI)."
"Nennen Sie die ""6-R-Regel"" der Medikamentengabe.";"Richtiger Patient, Richtiges Medikament, Richtige Dosis/Konzentration, Richtige Applikationsform, Richtiger Zeitpunkt, Richtige Dokumentation."
"Was versteht man unter der ""Garantenstellung"" des Rettungsdienstpersonals?";"Die Garantenstellung verpflichtet das Rettungsdienstpersonal, für das Wohl und die Gesundheit des Patienten einzustehen und Schaden abzuwenden, sobald die Behandlung übernommen wurde. Eine Nichthilfe oder fehlerhafte Behandlung kann rechtliche Konsequenzen haben (z.B. unterlassene Hilfeleistung, Körperverletzung)."
"Was bedeutet die Schweigepflicht für Rettungssanitäter und welche Ausnahmen gibt es?";"Die Schweigepflicht (§ 203 StGB) verbietet es, Patientendaten und Informationen, die im Rahmen der Berufsausübung bekannt geworden sind, unbefugt an Dritte weiterzugeben. Ausnahmen können z.B. bei mutmaßlicher Einwilligung des Patienten, gesetzlicher Meldepflicht (z.B. Infektionsschutzgesetz) oder bei rechtfertigendem Notstand bestehen."
"Unter welchen Voraussetzungen dürfen Sonder- und Wegerechte (§35, §38 StVO) in Anspruch genommen werden?";"Nur bei höchsten Eile zur Rettung von Menschenleben oder Abwendung schwerer gesundheitlicher Schäden, unter gebührender Berücksichtigung der öffentlichen Sicherheit und Ordnung. Wegerecht (blaues Blinklicht und Einsatzhorn) darf nur genutzt werden, wenn höchste Eile geboten ist."
"Welche Mindestinhalte muss ein Notfallprotokoll (z.B. nach DIVI-Standard) enthalten?";"Einsatzdaten (Datum, Uhrzeit, Ort, Einsatznummer), Patientendaten (Name, Geburtsdatum, Adresse), Anamnese (SAMPLER), Untersuchungsbefunde (Vitalparameter, ABCDE-Status), Diagnosen/Verdachtsdiagnosen, durchgeführte Maßnahmen (inkl. Medikamente mit Dosis und Zeit), Transportverlauf, Übergabedaten (Klinik, Uhrzeit, übernehmendes Personal)."
"Wie dokumentieren Sie eine Transportverweigerung durch einen aufgeklärten, einwilligungsfähigen Patienten korrekt, um sich rechtlich abzusichern?";"Genaue Dokumentation der erhobenen Befunde, der Aufklärung des Patienten über seinen Zustand, die empfohlenen Maßnahmen (Transport), die möglichen Risiken und Folgen der Verweigerung (bis hin zu Lebensgefahr), Dokumentation der Einwilligungsfähigkeit des Patienten, Bestätigung der Verweigerung durch Unterschrift des Patienten (wenn möglich) und eines Zeugen."
"Nennen Sie mindestens fünf Indikationen für eine hygienische Händedesinfektion im Rettungsdiensteinsatz gemäß bayerischem Rahmenhygieneplan.";"Vor Patientenkontakt, nach Patientenkontakt, nach Kontakt mit der unmittelbaren Patientenumgebung, nach Ablegen von Schutzhandschuhen, vor aseptischen Tätigkeiten (z.B. Vorbereitung von Medikamenten, Wundversorgung), nach Kontakt mit potenziell infektiösem Material (Blut, Sekrete)."
"Welche persönliche Schutzausrüstung (PSA) ist beim Umgang mit einem Patienten mit Verdacht auf eine offene Lungentuberkulose mindestens erforderlich?";"FFP2- oder FFP3-Maske, Schutzbrille/Gesichtsschild, flüssigkeitsdichter Schutzkittel, Einmalhandschuhe."
"Wie ist ein Rettungswagen nach dem Transport eines Patienten mit bestätigtem Norovirus zu desinfizieren?";"Desinfizierende Vollreinigung aller kontaminierten Flächen und Gegenstände mit einem viruziden Desinfektionsmittel (begrenzt viruzid plus oder viruzid, RKI-gelistet), unter Einhaltung der vorgeschriebenen Konzentration und Einwirkzeit. Besondere Beachtung von Handkontaktflächen. Tragen von PSA während der Desinfektion."
"Was ist der Unterschied zwischen einer Routinedesinfektion und einer gezielten Desinfektion von Flächen im RTW?";"Routinedesinfektion: Wischdesinfektion von Kontaktflächen nach jedem Patiententransport. Gezielte Desinfektion: Bei sichtbarer Kontamination mit Körperflüssigkeiten wird die Verunreinigung zuerst entfernt (z.B. mit Zellstoff) und die Fläche anschließend desinfiziert."
"Welche Maßnahmen sind zur persönlichen Hygiene des Rettungsdienstpersonals wichtig, um Infektionsübertragungen vorzubeugen?";"Regelmäßige Händedesinfektion und Händewaschen, Tragen sauberer Dienstkleidung (täglicher Wechsel bzw. bei Kontamination), kurzgeschnittene Fingernägel, kein Tragen von Schmuck an Händen/Unterarmen, Nutzung der bereitgestellten PSA."
"Was bedeutet das Schema ""AAAACEEEE"" (oder ähnliche Varianten wie GAMS) zur Gefahrenbeurteilung an einer Einsatzstelle?";"Es ist ein Merkschema zur systematischen Erfassung von Gefahren. Beispiele für 'A' können sein: Atomare Gefahren, Absturzgefahr, Ausbreitungsgefahr. 'C' für Chemische Gefahren. 'E' für Explosion, Erkrankung/Verletzung, Elektrizität, Ersticken. Das Ziel ist, Eigenschutz und Fremdschutz sicherzustellen."
"Wie gehen Sie bei der Kommunikation mit einem stark schwerhörigen, älteren Patienten vor, um wichtige Informationen zu erhalten?";"Ruhig und deutlich sprechen, dem Patienten ins Gesicht sehen (Lippenlesen ermöglichen), kurze, einfache Sätze verwenden, ggf. aufschreiben, Hörgerät prüfen (falls vorhanden), laute Umgebungsgeräusche minimieren, Geduld zeigen, nonverbale Kommunikation nutzen."
"Welche Rolle hat der ersteintreffende Rettungssanitäter bei einem Massenanfall von Verletzten (MANV) bis zum Eintreffen weiterer Führungskräfte?";"Lageerkundung (Art des Ereignisses, Anzahl der Betroffenen, Gefahren), erste Lagemeldung an die Leitstelle, erste Sichtung (Triage) der Patienten nach Dringlichkeit, Festlegung eines Verletztenablageplatzes, ggf. Einleitung erster lebensrettender Sofortmaßnahmen bei vital bedrohten Patienten, Einweisung nachfolgender Kräfte."
"Nennen Sie drei wichtige Aspekte der Zusammenarbeit mit der Feuerwehr an einer Unfallstelle mit eingeklemmten Personen.";"Klare Kommunikation und Absprache der Zuständigkeiten (wer macht was?), Sicherstellung des Zugangsweges zum Patienten, medizinische Betreuung des Patienten während der technischen Rettung (sofern möglich und sicher), Informationsaustausch über den Zustand des Patienten und die Dauer der Rettung."
"Wie kann eine effektive Übergabe eines Patienten an das Klinikpersonal gestaltet werden?";"Strukturiert nach einem Schema (z.B. SBAR: Situation, Background, Assessment, Recommendation oder nach ABCDE/SAMPLER), präzise und relevante Informationen weitergeben, Vitalparameter, durchgeführte Maßnahmen und deren Wirkung, Verdachtsdiagnose, besondere Vorkommnisse, Fragen des Klinikpersonals beantworten."
"Welche Informationen muss eine korrekte Notfallmeldung an die Leitstelle (die ""5 W-Fragen"") enthalten?";"Wo ist es passiert? (Genauer Ort) Was ist geschehen? (Art des Notfalls) Wie viele Verletzte/Betroffene? Welche Arten von Verletzungen/Erkrankungen? Warten auf Rückfragen! (Nicht auflegen, bis die Leitstelle das Gespräch beendet)."
"Was ist beim Umgang mit Angehörigen von Notfallpatienten zu beachten?";"Ruhiges und empathisches Auftreten, ehrliche und verständliche Informationen (im Rahmen der Schweigepflicht und Kompetenz), keine falschen Versprechungen machen, ggf. Betreuung anbieten oder organisieren (z.B. Notfallseelsorge), auf eigene Emotionen achten."
"Erklären Sie den Begriff ""Time is Brain"" im Kontext eines Schlaganfalls.";"Dieser Begriff betont die extreme Zeitkritikalität bei der Behandlung eines Schlaganfalls. Jede Minute Verzögerung bis zur Einleitung einer rekanalisierenden Therapie (z.B. Lyse, Thrombektomie) führt zum Absterben von mehr Hirnzellen und damit zu schlechteren neurologischen Ergebnissen. Daher ist eine schnelle Erkennung, Alarmierung und Transport in eine geeignete Stroke Unit entscheidend."
"Welche Maßnahmen umfasst der Eigenschutz an einer Einsatzstelle auf einer Autobahn?";"Warnblinkanlage und Blaulicht am Einsatzfahrzeug, Tragen von Warnkleidung, Absicherung der Einsatzstelle (Warndreieck, Verkehrsleitkegel), vorsichtiges Bewegen im fließenden Verkehr, Beachtung von Gefahren durch andere Fahrzeuge, ggf. Sperrung von Fahrstreifen in Absprache mit der Polizei."
"Was sind die Ziele der Triage bei einem Massenanfall von Verletzten (MANV)?";"Schnelle Identifizierung der am schwersten Verletzten, die einer sofortigen Behandlung bedürfen, um mit begrenzten Ressourcen möglichst viele Leben zu retten und schwere Folgeschäden zu minimieren. Einteilung der Patienten in Sichtungskategorien (z.B. rot, gelb, grün, blau/schwarz) zur Priorisierung von Behandlung und Transport."
